Date,Created_at
84/03/15,2019-09-20 23:46:43.937218
84/03/16,2019-09-20 23:46:43.941294
84/03/17,2019-09-20 23:46:43.945124
84/03/18,2019-09-20 23:46:43.950072
84/03/20,2019-09-20 23:46:43.986589
84/03/21,2019-09-20 23:46:43.993331
84/03/22,2019-09-20 23:46:44.089053
84/03/23,2019-09-20 23:46:44.145563
84/03/24,2019-09-20 23:46:44.152969
84/03/25,2019-09-20 23:46:44.160176
84/03/27,2019-09-20 23:46:44.168550
84/03/28,2019-09-20 23:46:44.176721
84/03/30,2019-09-20 23:46:44.180691
84/03/31,2019-09-20 23:46:44.189719
84/04/01,2019-09-20 23:46:44.194108
84/04/06,2019-09-20 23:46:44.201339
84/04/07,2019-09-20 23:46:44.209657
84/04/08,2019-09-20 23:46:44.214071
84/04/10,2019-09-20 23:46:44.217652
84/04/11,2019-09-20 23:46:44.223747
84/04/12,2019-09-20 23:46:44.229463
84/04/13,2019-09-20 23:46:44.233879
84/04/14,2019-09-20 23:46:44.239665
84/04/15,2019-09-20 23:46:44.250825
84/04/17,2019-09-20 23:46:44.254668
84/04/18,2019-09-20 23:46:44.258573
84/04/19,2019-09-20 23:46:44.268185
84/04/20,2019-09-20 23:46:44.274429
84/04/21,2019-09-20 23:46:44.279363
84/04/22,2019-09-20 23:46:44.286307
84/04/24,2019-09-20 23:46:44.291932
84/04/25,2019-09-20 23:46:44.295265
84/04/26,2019-09-20 23:46:44.300158
84/04/27,2019-09-20 23:46:44.306131
84/04/28,2019-09-20 23:46:44.317599
84/04/29,2019-09-20 23:46:44.323180
84/05/01,2019-09-20 23:46:44.326514
84/05/02,2019-09-20 23:46:44.340753
84/05/03,2019-09-20 23:46:44.346562
84/05/04,2019-09-20 23:46:44.369381
84/05/05,2019-09-20 23:46:44.375143
84/05/06,2019-09-20 23:46:44.378497
84/05/08,2019-09-20 23:46:44.381848
84/05/09,2019-09-20 23:46:44.386416
84/05/10,2019-09-20 23:46:44.390516
84/05/11,2019-09-20 23:46:44.395235
84/05/12,2019-09-20 23:46:44.399320
84/05/13,2019-09-20 23:46:44.402946
84/05/15,2019-09-20 23:46:44.407423
84/05/16,2019-09-20 23:46:44.410364
84/05/17,2019-09-20 23:46:44.415594
84/05/18,2019-09-20 23:46:44.419158
84/05/19,2019-09-20 23:46:44.423941
84/05/20,2019-09-20 23:46:44.426897
84/05/22,2019-09-20 23:46:44.428799
84/05/23,2019-09-20 23:46:44.430529
84/05/24,2019-09-20 23:46:44.433715
84/05/25,2019-09-20 23:46:44.435448
84/05/26,2019-09-20 23:46:44.438444
84/05/27,2019-09-20 23:46:44.440495
84/05/29,2019-09-20 23:46:44.442439
84/05/30,2019-09-20 23:46:44.444169
84/05/31,2019-09-20 23:46:44.446045
84/06/01,2019-09-20 23:46:44.449932
84/06/05,2019-09-20 23:46:44.457104
84/06/06,2019-09-20 23:46:44.463089
84/06/07,2019-09-20 23:46:44.466805
84/06/08,2019-09-20 23:46:44.470960
84/06/09,2019-09-20 23:46:44.473878
84/06/10,2019-09-20 23:46:44.477123
84/06/12,2019-09-20 23:46:44.480242
84/06/13,2019-09-20 23:46:44.484041
84/06/14,2019-09-20 23:46:44.486861
84/06/15,2019-09-20 23:46:44.489603
84/06/16,2019-09-20 23:46:44.491944
84/06/17,2019-09-20 23:46:44.494489
84/06/19,2019-09-20 23:46:44.500931
84/06/20,2019-09-20 23:46:44.504248
84/06/21,2019-09-20 23:46:44.507516
84/06/22,2019-09-20 23:46:44.510865
84/06/23,2019-09-20 23:46:44.514206
84/06/24,2019-09-20 23:46:44.517874
84/06/26,2019-09-20 23:46:44.520896
84/06/27,2019-09-20 23:46:44.523660
84/06/28,2019-09-20 23:46:44.526743
84/06/29,2019-09-20 23:46:44.530455
84/06/30,2019-09-20 23:46:44.534039
84/07/03,2019-09-20 23:46:44.537009
84/07/04,2019-09-20 23:46:44.539896
84/07/05,2019-09-20 23:46:44.542937
84/07/06,2019-09-20 23:46:44.545796
84/07/07,2019-09-20 23:46:44.549307
84/07/08,2019-09-20 23:46:44.552935
84/07/10,2019-09-20 23:46:44.557263
84/07/11,2019-09-20 23:46:44.561085
84/07/12,2019-09-20 23:46:44.565895
84/07/13,2019-09-20 23:46:44.569019
84/07/14,2019-09-20 23:46:44.573980
84/07/15,2019-09-20 23:46:44.577037
84/07/17,2019-09-20 23:46:44.580770
84/07/18,2019-09-20 23:46:44.589561
84/07/19,2019-09-20 23:46:44.599402
84/07/20,2019-09-20 23:46:44.609678
84/07/21,2019-09-20 23:46:44.614179
84/07/22,2019-09-20 23:46:44.617996
84/07/24,2019-09-20 23:46:44.623681
84/07/25,2019-09-20 23:46:44.627114
84/07/26,2019-09-20 23:46:44.633014
84/07/27,2019-09-20 23:46:44.635868
84/07/28,2019-09-20 23:46:44.640684
84/07/29,2019-09-20 23:46:44.643262
84/07/31,2019-09-20 23:46:44.646537
84/08/01,2019-09-20 23:46:44.649855
84/08/02,2019-09-20 23:46:44.656691
84/08/03,2019-09-20 23:46:44.660157
84/08/04,2019-09-20 23:46:44.664491
84/08/05,2019-09-20 23:46:44.668043
84/08/07,2019-09-20 23:46:44.673531
84/08/08,2019-09-20 23:46:44.675707
84/08/09,2019-09-20 23:46:44.677646
84/08/10,2019-09-20 23:46:44.680880
84/08/11,2019-09-20 23:46:44.684515
84/08/12,2019-09-20 23:46:44.689109
84/08/14,2019-09-20 23:46:44.692063
84/08/15,2019-09-20 23:46:44.697184
84/08/16,2019-09-20 23:46:44.701222
84/08/17,2019-09-20 23:46:44.707467
84/08/18,2019-09-20 23:46:44.711603
84/08/19,2019-09-20 23:46:44.716563
84/08/21,2019-09-20 23:46:44.720195
84/08/22,2019-09-20 23:46:44.725138
84/08/23,2019-09-20 23:46:44.729763
84/08/24,2019-09-20 23:46:44.733524
84/08/25,2019-09-20 23:46:44.735855
84/08/26,2019-09-20 23:46:44.739189
84/08/28,2019-09-20 23:46:44.742527
84/08/29,2019-09-20 23:46:44.745786
84/08/30,2019-09-20 23:46:44.750174
