公司代號,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益,年份,季度,公司名稱
3686,,,,26379.0,,,,,,,,,,,,,,,,-0.28,,,,,-103571.0,,-95506.0,-95506.0,,-92909.0,,433691.0,496884.0,-63193.0,,,-63193.0,,-89572.0,-13999.0,-8065.0,2597.0,,,,,,,,,,,,,,,,達能
3694,,,,240235.0,,,,,,,,,,,,,-77715.0,,,-0.71,,,,,-92273.0,,-92273.0,-92273.0,,-77715.0,,1261985.0,1106531.0,155454.0,,,155454.0,,-84781.0,-7492.0,0.0,14558.0,-92273.0,,,,,,,,,,,,,,,海華科技
3698,,,,331263.0,,,,,,,,,,,,,72733.0,,-5660.0,0.05,,,,,23393.0,,21060.0,21060.0,,67073.0,,3222384.0,2820912.0,401472.0,,,401472.0,,70209.0,-46816.0,2333.0,46013.0,26733.0,-5673.0,,,,,,,,,,,,,,隆達
3701,,,,469592.0,,,,,,,,,,,,,-228078.0,,-196484.0,-0.69,,,,,-386629.0,,-401878.0,-401878.0,,-424562.0,,3270468.0,2970015.0,300453.0,,,300453.0,,-169139.0,-217490.0,15249.0,-22684.0,-220811.0,-181067.0,,,,,,,,,,,,,,大眾投控
3702,,,,2898377.0,,,,,,,,,,,,,2364602.0,,806.0,0.84,,,,,1732185.0,,1395543.0,1395543.0,,2365408.0,,102341579.0,97534464.0,4807115.0,,,4807115.0,,1908738.0,-176553.0,336642.0,969865.0,1396047.0,-504.0,,,,,,,,,,,,,,大聯大
3703,,,,267614.0,,,,0.0,,,,,,,,,-485307.0,,4989.0,-0.12,,,,,-88783.0,,-97024.0,-97024.0,,-480318.0,,4245917.0,3908196.0,337721.0,0.0,0.0,337721.0,,70107.0,-158890.0,8241.0,-383294.0,-101888.0,4864.0,,,,,,,,,,,,,,欣陸投控
3704,,,,1030631.0,,,,,,,,,,,,,60113.0,,1356.0,0.11,,,,,84559.0,,51141.0,51141.0,,61469.0,,3870297.0,2811710.0,1058587.0,,,1058587.0,,27956.0,56603.0,33418.0,10328.0,51533.0,-392.0,,,,,,,,,,,,,,合勤控
3705,,,,432040.0,,,,,,,,,,,,,223220.0,,3473.0,0.71,,,,,234523.0,,182123.0,182123.0,,226693.0,,1343811.0,731346.0,612465.0,,,612465.0,,180425.0,54098.0,52400.0,44570.0,180544.0,1579.0,,,,,,,,,,,,,,永信
3706,,,,1478925.0,,,,,,,,,,,,,179625.0,,4.0,-0.05,,,,,3613.0,,-37927.0,-37927.0,,179629.0,,8498811.0,7309613.0,1189198.0,,,1189198.0,,-289727.0,293340.0,41540.0,217556.0,-37931.0,4.0,,,,,,,,,,,,,,神達
4104,,,,193551.0,,,,,,,,,,,,,79955.0,,3008.0,0.7,,,,,127841.0,,97480.0,97480.0,,82963.0,,1380191.0,1111632.0,268559.0,10493.0,10046.0,268112.0,,74561.0,53280.0,30361.0,-14517.0,79591.0,17889.0,,,,,,,,,,,,,,佳醫
4106,,,,195434.0,,,,,,,,,,,,,72469.0,,10028.0,0.68,,,,,80217.0,,60610.0,60610.0,,82497.0,,581195.0,316883.0,264312.0,,,264312.0,,68878.0,11339.0,19607.0,21887.0,56734.0,3876.0,,,,,,,,,,,,,,雃博
4108,,,,43913.0,,,,,,,,,,,,,-32896.0,,-4380.0,-0.21,,,,,-39184.0,,-39208.0,-39208.0,,-37276.0,,27590.0,26618.0,972.0,0.0,0.0,972.0,,-42941.0,3757.0,24.0,1932.0,-34828.0,-4380.0,,,,,,,,,,,,,,懷特
4119,,,,50859.0,,,,,,,,,,,,,63383.0,,,0.97,,,,,79948.0,,63605.0,63605.0,,63383.0,,374574.0,244022.0,130552.0,,,130552.0,,79693.0,255.0,16343.0,-222.0,63605.0,,,,,,,,,,,,,,,旭富製藥
4133,,,,41699.0,,,,,,,,,,,,,,,,0.23,,,,,16477.0,,13736.0,13736.0,,13736.0,,108728.0,53974.0,54754.0,,,54754.0,,13055.0,3422.0,2741.0,0.0,,,,,,,,,,,,,,,,亞諾法
4137,,,,352933.0,,,,,,,,,,,,,162069.0,,,2.41,,,,,250296.0,,182700.0,182700.0,,162069.0,,721126.0,130826.0,590300.0,,,590300.0,,237367.0,12929.0,67596.0,-20631.0,182700.0,,,,,,,,,,,,,,,麗豐-KY
4141,,,,687361.0,,,,,,,,,,,,,86695.0,0.0,0.0,0.57,,,,,155862.0,,75308.0,75308.0,,86695.0,0.0,1969145.0,1188757.0,780388.0,,,780388.0,0.0,93027.0,62835.0,80554.0,11387.0,75308.0,0.0,,,,,,,,,,,,,,龍燈-KY
4142,,,,92636.0,,,,,,,,,,,,,-149149.0,,-231.0,-0.82,,,,,-152158.0,,-152158.0,-152158.0,,-149380.0,,5181.0,58396.0,-53215.0,,,-53215.0,,-145851.0,-6307.0,0.0,2778.0,-151927.0,-231.0,,,,,,,,,,,,,,國光生技
4144,,,,175833.0,,,,,,,,,,,,,-10515.0,,18624.0,1.72,,,,,170670.0,,147670.0,147670.0,,8109.0,,506175.0,253414.0,252761.0,,,252761.0,,76928.0,93742.0,23000.0,-139561.0,134238.0,13432.0,,,,,,,,,,,,,,康聯-KY
4164,,,,54085.0,,,,,,,,,,,,,37066.0,,-423.0,0.28,,,,,45672.0,,35903.0,35903.0,,36643.0,,422474.0,312880.0,109594.0,,,109594.0,,55509.0,-9837.0,9769.0,740.0,36326.0,-423.0,,,,,,,,,,,,,,承業醫
4306,,,,376845.0,,,,,,,,,,,,,39967.0,,51740.0,0.12,,,,,155061.0,,116722.0,116722.0,,91707.0,,4806334.0,4260814.0,545520.0,,,545520.0,,168675.0,-13614.0,38339.0,-25015.0,53655.0,63067.0,,,,,,,,,,,,,,炎洲
4414,,,,66626.0,,,,,,,,,,,,,59510.0,,,0.63,,,,,61118.0,,49418.0,49418.0,,59510.0,,636276.0,509905.0,126371.0,,,126371.0,,59745.0,1373.0,11700.0,10092.0,49418.0,,,,,,,,,,,,,,,如興
4426,,,,55016.0,,,,,,,,,,,,,51702.0,,,0.74,,,,,59639.0,,51556.0,51556.0,,51702.0,,321988.0,210457.0,111531.0,,,111531.0,,56515.0,3124.0,8083.0,146.0,51556.0,,,,,,,,,,,,,,,利勤實業
4526,,,,336573.0,,,,,,,,,,,,,145842.0,,26212.0,0.61,,,,,218176.0,,166685.0,166685.0,,172054.0,,1833423.0,1378759.0,454664.0,,,454664.0,,118091.0,100085.0,51491.0,5369.0,140744.0,25941.0,,,,,,,,,,,,,,東台
4532,,,,387145.0,,,,,,,,,,,,,328238.0,,68676.0,0.59,,,,,466524.0,,317184.0,317184.0,,396914.0,,5105461.0,4287535.0,817926.0,,,817926.0,,430781.0,35743.0,149340.0,79730.0,266087.0,51097.0,,,,,,,,,,,,,,瑞智精密
4536,,,,250374.0,,,,0.0,,,,,,,,,93209.0,,1756.0,0.68,,,,,81245.0,,60281.0,60281.0,,94965.0,,1275111.0,976918.0,298193.0,,,298193.0,,47819.0,33426.0,20964.0,34684.0,61501.0,-1220.0,,,,,,,,,,,,,,拓凱
