公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
2718,125.98,22.94,8.83,11.08,8.79,102,2,晶悅
2719,1431.26,15.41,1.65,2.16,2.16,102,2,燦星旅
2724,437.78,21.19,-2.21,2.68,1.44,102,2,富驛-KY
2729,1101.73,53.82,14.53,15.2,12.63,102,2,瓦城泰統
2732,533.44,67.62,18.95,19.63,15.1,102,2,六角國際
2734,708.9,13.27,3.23,3.58,3.6,102,2,易飛網
2916,643.8,42.22,-0.79,1.32,1.1,102,2,滿心企業
2924,725.09,64.65,10.53,11.5,7.83,102,2,東凌-KY
2926,1605.89,41.44,9.49,11.0,9.09,102,2,誠品生活
3064,141.92,12.98,-96.61,-1.18,0.08,102,2,泰偉電子
3066,263.47,11.24,-23.17,-26.5,-26.5,102,2,李洲科技
3067,196.38,15.65,-8.03,-8.79,-9.08,102,2,全域
3071,1377.47,13.52,-4.34,-3.58,-4.28,102,2,協禧電機
3073,86.04,11.14,-43.91,13.46,14.27,102,2,凱柏實業
3078,2440.23,14.51,3.85,6.2,4.45,102,2,僑威科技
3083,415.59,93.78,7.86,10.52,10.15,102,2,中華網龍
3085,225.16,26.36,-7.8,-14.8,-15.08,102,2,新零售
3086,349.48,40.82,-11.34,-10.05,-11.46,102,2,華義國際
3088,1666.03,37.38,10.01,11.31,8.75,102,2,艾訊
3089,152.39,12.36,-9.29,-5.94,-7.65,102,2,元炬
3092,839.53,10.74,-0.93,-1.53,-1.57,102,2,鴻碩
3093,440.4,37.12,6.45,10.04,8.0,102,2,港建
3095,2202.79,2.62,-15.67,-20.62,-21.06,102,2,及成
3105,6031.78,32.52,22.89,27.39,22.16,102,2,穩懋
3114,755.7,11.08,1.61,3.2,2.83,102,2,好德科技
3115,291.94,13.49,2.43,4.04,4.24,102,2,寶島極
3118,252.45,36.11,13.12,13.49,11.33,102,2,進階生物
3122,271.19,35.91,6.45,8.54,7.08,102,2,笙泉科技
3128,483.93,15.59,1.15,2.89,1.87,102,2,昇銳電子
3131,1189.4,44.54,27.31,28.12,22.56,102,2,弘塑科技
3141,433.27,41.32,4.42,5.97,5.16,102,2,晶宏
3144,709.91,26.4,14.45,16.17,14.53,102,2,新揚科
3152,642.5,48.94,35.48,38.43,35.35,102,2,璟德電子
3162,383.09,10.19,-7.88,-5.17,-4.43,102,2,精確實業
3163,966.02,22.79,12.43,13.9,14.99,102,2,波若威
