公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
1101,24114.05,12.95,8.4,9.71,8.29,102,1,台泥
1102,13931.55,6.4,2.44,11.41,9.84,102,1,亞泥
1103,741.19,-6.06,-20.21,4.56,8.05,102,1,嘉泥
1104,1248.07,9.78,2.42,14.92,14.7,102,1,環球水泥
1108,1203.67,12.61,8.16,7.03,5.31,102,1,幸福水泥
1109,916.24,13.78,3.92,4.76,3.83,102,1,信大水泥
1110,460.23,14.47,11.25,12.93,13.28,102,1,東泥
1201,6700.85,32.45,5.62,5.25,3.69,102,1,味全公司
1203,1643.33,20.57,8.07,8.61,7.31,102,1,味王公司
1210,21357.13,9.08,1.17,1.58,1.36,102,1,大成長城
1213,174.68,17.03,6.68,6.42,5.1,102,1,大飲
1215,4380.23,8.68,2.24,2.04,1.57,102,1,卜蜂企業
1216,104634.79,31.35,5.5,6.67,5.49,102,1,統一
1217,886.49,31.5,-1.38,3.05,1.44,102,1,愛之味
1218,2371.39,11.84,-0.35,-0.03,-0.04,102,1,泰山企業
1219,2342.16,4.21,-1.72,-1.48,-1.48,102,1,福壽實業
1220,810.34,10.3,3.16,4.04,3.95,102,1,台榮
1225,3388.53,4.64,1.12,0.9,0.72,102,1,福懋油
1227,5076.33,31.17,14.76,16.59,13.78,102,1,佳格
1229,1254.0,10.53,3.03,18.52,18.31,102,1,聯華實業
1231,1482.5,27.31,7.91,9.05,7.52,102,1,聯華食品
1232,4882.49,6.82,4.31,5.32,4.35,102,1,大統益
1233,532.76,61.03,14.82,15.57,12.89,102,1,天仁
1234,1574.86,24.39,0.3,8.12,6.52,102,1,黑松
1235,58.08,1.21,-12.4,-55.59,-59.98,102,1,興泰
1236,726.31,29.35,10.19,10.28,8.65,102,1,宏亞食品
1256,341.58,29.2,16.97,19.03,13.4,102,1,鮮活果汁-KY
1301,50044.54,6.19,1.08,11.28,10.99,102,1,台塑
1303,74265.11,11.17,5.56,11.05,9.34,102,1,南亞塑膠
1304,12701.4,9.17,3.19,5.54,4.96,102,1,台聚
1305,3201.92,18.74,10.82,12.95,11.01,102,1,華夏
1307,2605.64,23.81,9.75,11.72,8.46,102,1,三芳化工
1308,1227.23,8.08,4.03,11.61,10.65,102,1,亞聚
1309,4389.76,3.09,-0.41,0.98,1.19,102,1,台達化工
1310,4958.71,3.43,1.07,0.56,0.52,102,1,台苯
1312,5981.4,8.38,3.61,4.37,3.64,102,1,國喬石化
1313,11397.75,3.32,0.02,1.61,1.48,102,1,聯成
1314,9074.55,-1.42,-4.58,-2.85,-2.84,102,1,中石化
1315,700.17,17.15,-1.16,0.41,0.68,102,1,達新工業
1316,342.81,25.71,-7.63,-7.81,-8.28,102,1,上曜
1319,4617.09,22.47,7.24,8.61,7.25,102,1,東陽
1321,1228.6,6.6,-0.63,0.11,0.11,102,1,大洋
1323,777.65,23.84,11.12,11.17,8.46,102,1,永裕
1324,386.51,14.15,1.78,4.32,3.64,102,1,地球工業
1325,268.17,15.26,9.04,11.1,9.38,102,1,恒大
1326,105123.05,9.09,6.07,8.94,8.12,102,1,台化
1337,958.88,38.77,29.56,31.88,24.0,102,1,再生-KY
1338,1430.57,21.16,3.32,4.69,3.57,102,1,廣華-KY
1339,314.76,35.51,19.66,26.88,22.31,102,1,昭輝
1402,57620.49,18.98,5.48,7.15,6.19,102,1,遠東新
1410,138.78,25.92,12.42,14.68,14.07,102,1,南染
1413,1128.66,-3.71,-6.26,-6.29,-6.34,102,1,宏洲纖維
1414,308.41,13.03,8.13,10.49,10.49,102,1,東和
1416,37.72,77.15,-43.25,-26.23,-26.24,102,1,廣豐
1417,830.91,25.28,-4.61,-0.32,-1.19,102,1,嘉裕
1418,473.88,1.33,-6.99,-5.12,-5.26,102,1,東華
1419,223.16,23.32,-4.57,-5.24,-5.79,102,1,新紡
1423,232.65,11.73,7.84,7.02,9.1,102,1,利華羊毛
1432,117.9,6.95,-52.06,-49.45,-49.45,102,1,大魯閣實業
1434,11703.21,9.89,4.78,5.37,4.49,102,1,福懋興業
1435,5.87,82.19,-29.98,-20.78,-20.78,102,1,中福國際
1436,0.6,35.1,-1423.84,-517.05,-517.05,102,1,華友聯
1437,326.32,0.99,-6.81,-11.33,-11.63,102,1,勤益投控
1438,8.85,68.55,33.94,42.22,38.12,102,1,裕豐
1439,128.88,1.85,-2.56,2.39,2.05,102,1,中和羊毛
1440,5107.41,12.87,6.63,8.46,6.5,102,1,南紡
1441,325.83,8.42,-1.92,1.74,1.79,102,1,大東紡織
1442,974.12,41.39,34.68,34.84,32.69,102,1,名軒
1443,391.22,11.25,-1.7,-2.11,-2.11,102,1,立益紡織
1444,2816.75,5.86,1.93,6.99,7.1,102,1,力麗
1445,456.74,7.65,0.85,4.09,3.84,102,1,大宇紡織
1446,204.21,25.1,6.33,7.75,6.03,102,1,宏和
1447,6799.61,7.28,4.87,6.09,5.1,102,1,力鵬
1449,788.66,2.64,-10.46,-7.35,-7.35,102,1,佳和實業
1451,3164.67,10.6,4.33,5.72,4.7,102,1,年興紡織
1452,543.44,9.07,5.5,6.47,5.39,102,1,宏益
1453,44.64,12.65,-3.86,-1.88,-4.63,102,1,大將
1454,491.9,5.81,-0.29,0.5,0.42,102,1,台富
1455,4000.95,6.62,4.08,4.8,4.03,102,1,集盛
1456,203.19,8.43,1.22,-9.12,-6.9,102,1,怡華
1457,967.1,4.34,0.38,0.26,0.26,102,1,宜進
1459,897.47,3.61,-0.67,-0.95,-1.24,102,1,聯發紡織
1460,1738.22,13.89,0.95,4.32,4.32,102,1,宏遠
1463,199.47,9.07,-6.41,-0.34,-0.34,102,1,強盛染整
1464,978.91,12.18,-0.69,0.49,0.05,102,1,得力實業
1465,533.26,11.27,1.61,2.86,2.42,102,1,偉全實業
1466,1289.24,8.06,1.54,1.9,1.57,102,1,聚隆
1467,1678.24,19.01,2.46,3.69,2.51,102,1,南緯實業
1468,203.28,2.7,-16.27,-10.96,-10.96,102,1,昶和纖維
1470,163.82,15.03,4.34,5.35,4.44,102,1,大統新創
1471,1483.65,3.23,-3.51,-1.0,-1.1,102,1,首利
1472,205.62,-3.04,-17.79,-17.67,-17.67,102,1,三洋紡
1473,2784.71,27.7,4.05,5.1,3.12,102,1,台南企業
1474,943.83,5.98,0.1,1.14,0.73,102,1,弘裕
1475,53.0,-21.9,-49.71,-47.02,-46.96,102,1,本盟光電
1476,3673.27,28.33,17.75,19.24,16.1,102,1,儒鴻
1477,4297.62,20.83,9.99,10.49,8.99,102,1,聚陽實業
1503,4269.68,21.46,7.86,8.65,6.7,102,1,士電
1504,13265.37,23.87,8.68,9.24,6.53,102,1,東元電機
1506,347.34,7.07,-7.87,-6.81,-6.81,102,1,正道
1507,4135.4,26.28,10.62,11.21,8.17,102,1,永大機電
1512,795.86,13.93,-1.97,-1.95,-3.04,102,1,瑞利
1513,2206.39,16.76,3.76,5.67,4.96,102,1,中興電
1514,980.72,11.7,2.53,3.22,2.96,102,1,亞力電機
1515,669.73,20.5,0.91,1.99,1.64,102,1,力山
1516,31.66,10.75,3.24,3.25,3.25,102,1,川飛
1517,919.27,14.85,5.62,9.36,6.86,102,1,利奇機械
1519,909.14,14.89,-0.54,1.76,1.39,102,1,華城電機
1521,959.8,13.79,3.59,6.83,5.67,102,1,大億
1522,3847.45,17.29,2.45,3.94,3.3,102,1,堤維西
1524,599.93,10.97,-0.68,0.63,0.64,102,1,耿鼎企業
1525,243.0,6.43,-2.4,22.62,20.16,102,1,江申工業
1526,168.47,20.19,6.07,5.53,5.55,102,1,日馳
1527,542.53,21.61,7.43,43.89,36.43,102,1,鑽全
1528,686.06,23.05,0.31,4.36,3.15,102,1,恩德
1529,17.2,14.41,-37.19,-38.21,-38.21,102,1,樂士
1530,656.09,20.78,6.63,12.85,10.9,102,1,亞崴機電
1531,814.39,22.07,9.24,19.17,11.47,102,1,高林股
1532,3021.74,21.63,9.27,12.39,11.1,102,1,勤美
1533,493.07,33.53,4.02,9.81,7.22,102,1,車王電
1535,2725.94,10.9,6.44,8.04,6.5,102,1,中宇
1536,876.29,26.35,12.77,14.01,12.49,102,1,和大工業
1537,1349.63,22.16,14.97,17.11,13.67,102,1,廣隆光電
1538,160.88,13.34,-39.6,-53.52,-53.52,102,1,正峰新
1539,438.78,10.75,4.35,8.27,6.71,102,1,巨庭機械
1540,189.98,22.48,9.62,20.54,17.29,102,1,喬福機械
1541,375.03,14.88,-3.54,-0.8,-1.7,102,1,錩泰
1558,1117.9,22.68,12.53,15.89,12.86,102,1,伸興
1560,981.92,26.06,14.36,14.48,11.97,102,1,中砂
1582,1955.55,22.55,10.66,10.77,6.67,102,1,信錦
1583,1265.92,26.64,8.83,14.56,11.65,102,1,程泰
1589,1169.19,25.29,11.52,9.62,7.23,102,1,永冠-KY
1590,1447.21,53.61,25.92,25.49,18.2,102,1,亞德客-KY
1603,495.67,11.9,4.77,2.95,2.43,102,1,華電
1604,2859.2,20.44,1.16,4.35,4.35,102,1,聲寶
1605,34450.92,3.09,-0.33,1.03,0.55,102,1,華新
1608,2665.31,1.24,-0.85,8.79,8.91,102,1,華榮
1609,4358.51,5.29,0.6,0.94,0.64,102,1,大亞電線
1611,1059.22,17.92,4.12,8.96,7.21,102,1,中電
1612,1026.15,2.16,-2.96,2.02,2.04,102,1,宏泰
1614,1146.52,16.07,0.21,1.96,1.68,102,1,三洋電
1615,784.4,4.58,1.18,1.26,1.04,102,1,大山
1616,702.66,2.46,-4.02,8.39,8.45,102,1,億泰
1617,920.42,5.71,-0.47,1.94,1.84,102,1,榮星電線
1618,600.19,5.08,0.09,0.81,0.67,102,1,合機公司
1626,2991.81,19.34,2.93,9.4,8.78,102,1,艾美特-KY
1701,1265.28,28.54,2.44,4.1,3.44,102,1,中化
1702,2917.69,31.8,8.03,7.61,5.08,102,1,南僑投控
1707,1227.95,87.47,20.39,22.72,19.01,102,1,葡萄王
1708,996.7,21.55,9.11,18.89,15.86,102,1,東鹼
1709,3037.0,10.3,4.46,4.8,3.88,102,1,和益化工
1710,3544.93,14.86,11.12,7.69,6.48,102,1,東聯
1711,1970.67,21.99,5.36,4.9,3.65,102,1,永光化學
1712,3785.05,24.23,4.32,5.18,3.71,102,1,興農
1713,164.6,15.24,6.95,8.62,7.28,102,1,國化
1714,11745.38,5.23,1.33,1.13,0.79,102,1,和桐化學
1717,8020.8,16.29,3.92,4.63,3.32,102,1,長興材料
1720,783.62,44.28,15.67,18.48,15.23,102,1,生達化學
1721,403.65,8.83,-1.03,1.11,1.11,102,1,三晃
1722,5904.68,30.74,24.06,42.71,38.22,102,1,台肥
1723,2077.49,31.65,27.44,29.78,25.52,102,1,中碳
1724,431.82,19.13,8.73,17.71,15.41,102,1,台硝
1725,2252.47,3.42,1.1,1.0,0.81,102,1,元禎
1726,2061.54,26.06,14.3,18.69,15.49,102,1,永記造漆
1727,517.89,15.19,5.92,5.36,4.41,102,1,中華化學
1730,356.56,45.08,7.19,8.33,6.46,102,1,花仙子
1731,573.22,25.55,3.06,3.75,3.87,102,1,美吾華
1732,158.42,39.68,1.39,1.6,0.98,102,1,毛寶
1733,523.97,32.79,22.75,27.67,24.03,102,1,五鼎
1734,485.48,34.92,-2.91,34.82,32.28,102,1,杏輝藥品
1735,1046.56,9.64,0.28,0.64,0.02,102,1,日勝化
1736,3317.35,50.04,1.37,3.17,2.42,102,1,喬山健康
1737,562.57,34.69,4.62,9.01,7.49,102,1,臺鹽
1762,298.06,37.52,14.01,17.01,14.01,102,1,中化合成
1773,1577.08,16.36,8.26,10.37,8.74,102,1,勝一化工
1786,44.07,53.93,10.06,16.35,16.35,102,1,科妍
1789,1185.62,55.23,32.76,34.35,29.53,102,1,台灣神隆
1802,7730.14,5.61,-8.99,-13.35,-13.54,102,1,台玻
1805,36.73,29.16,-40.07,-43.31,-43.72,102,1,寶徠
1806,1279.12,27.88,-4.65,-7.16,-7.62,102,1,冠軍
1808,92.52,62.86,3.62,12.87,12.87,102,1,潤隆
1809,704.95,13.11,-3.75,-2.75,-3.54,102,1,中釉
1810,1234.89,24.74,-2.67,1.81,1.45,102,1,和成
1902,1711.37,9.34,0.56,2.28,0.93,102,1,台紙
1903,514.6,4.14,-8.95,-8.69,-8.69,102,1,士紙
1904,10372.36,17.93,5.14,4.59,3.48,102,1,正隆
1905,4859.83,4.85,-2.49,-2.11,-2.1,102,1,華紙
1906,138.37,14.65,-0.9,-7.92,-7.92,102,1,寶隆國際
1907,13653.08,15.26,1.47,2.1,1.26,102,1,永豐餘
1909,5212.99,15.87,7.15,5.39,4.1,102,1,榮成紙業
2002,88460.52,10.28,6.68,6.42,5.51,102,1,中鋼
2006,9002.06,10.07,5.97,6.66,5.66,102,1,東和鋼鐵
2007,1743.16,-2.44,-5.82,-9.09,-9.58,102,1,燁興公司
2008,270.28,-34.09,-43.65,229.5,227.01,102,1,高興昌
2009,891.72,0.74,-1.15,1.79,1.98,102,1,第一伸銅
2010,4667.45,5.21,0.57,2.43,2.05,102,1,春源鋼鐵
2012,1897.91,16.27,2.4,4.35,2.72,102,1,春雨
2013,4710.86,4.74,2.55,3.48,2.92,102,1,中鋼構
2014,12107.24,6.48,3.56,3.38,3.35,102,1,中鴻
2015,7600.69,8.32,6.05,6.55,5.49,102,1,豐興鋼鐵
2017,1655.64,9.24,3.9,3.5,3.47,102,1,官田鋼
2020,1267.88,12.54,7.18,7.98,6.78,102,1,美亞鋼管
2022,3019.46,1.45,-2.94,2.53,7.81,102,1,聚亨
2023,13854.97,6.92,2.64,2.62,2.28,102,1,燁輝
2024,472.66,9.52,3.17,1.61,1.61,102,1,志聯工業
2025,1020.69,-4.57,-6.54,-7.97,-7.97,102,1,千興
2027,9337.45,11.83,1.68,1.98,1.36,102,1,大成鋼
2028,2317.21,1.92,-0.58,-1.91,-1.91,102,1,威致鋼鐵
2029,3801.14,11.49,5.65,6.04,4.99,102,1,盛餘
2030,3282.58,8.4,2.37,1.46,1.08,102,1,彰源
2031,2424.88,9.31,10.51,6.82,5.86,102,1,新光鋼
2032,876.28,5.93,2.81,3.46,2.94,102,1,新鋼工業
2033,249.7,8.25,-0.95,0.13,0.12,102,1,佳大世界
2034,5458.9,7.55,3.48,4.1,3.6,102,1,允強
2038,3073.41,2.73,1.01,0.46,0.39,102,1,海光企業
2049,2373.56,34.95,6.96,9.45,7.43,102,1,上銀科技
2059,865.67,50.81,38.13,53.7,46.97,102,1,川湖
2062,1283.27,25.56,15.08,19.11,15.83,102,1,橋椿
2101,2885.14,11.29,2.02,-0.58,-0.6,102,1,南港輪胎
2102,2088.36,22.14,10.98,11.79,8.93,102,1,泰豐輪胎
2103,10102.02,15.44,9.77,9.68,7.23,102,1,台橡
2104,5423.74,16.82,9.54,8.16,3.7,102,1,國際中橡
2105,30095.62,24.31,14.64,17.5,14.2,102,1,正新
2106,6776.22,24.75,13.63,14.28,11.35,102,1,建大
2107,603.41,45.08,30.34,42.7,39.97,102,1,厚生
2108,2432.73,15.61,6.94,7.75,6.31,102,1,南帝化工
2109,1851.11,16.91,5.37,5.23,4.01,102,1,華豐橡膠
2114,435.56,34.05,26.11,29.91,26.28,102,1,鑫永銓
2201,20225.57,18.92,3.25,7.55,6.52,102,1,裕隆汽車
2204,10062.68,13.91,1.64,5.68,4.95,102,1,中華汽車
2206,8170.84,15.49,0.19,0.52,0.11,102,1,三陽工業
2207,38299.01,11.72,5.3,7.22,6.07,102,1,和泰汽車
2208,6141.54,4.97,3.15,3.5,2.93,102,1,台船公司
2227,7596.03,15.17,3.62,20.33,16.86,102,1,裕隆日產
2231,333.07,41.85,24.14,27.52,23.77,102,1,為升
2233,365.99,34.08,18.02,20.5,15.52,102,1,宇隆
2301,46768.49,14.72,4.21,4.92,3.83,102,1,光寶科技
2302,140.72,22.2,-9.01,-10.95,-11.5,102,1,麗正
2303,27781.42,16.17,1.06,27.15,23.09,102,1,聯電
2305,156.63,40.52,-22.29,-8.18,-10.41,102,1,全友電腦
2308,38830.6,25.61,10.92,12.77,10.75,102,1,台達電
2312,11604.56,7.34,3.92,3.29,2.46,102,1,金寶電子
2313,6698.62,12.69,6.78,6.51,4.16,102,1,華通
2314,1462.74,6.88,-16.86,-17.5,-17.63,102,1,台揚科技
2316,1359.39,5.39,-2.7,2.86,3.42,102,1,楠梓電
2317,809011.95,5.68,1.72,2.79,2.02,102,1,鴻海
2321,1754.26,8.39,-0.29,-2.64,-2.64,102,1,東訊
2323,4182.81,0.51,-12.97,-12.93,-12.99,102,1,中環
2324,167555.91,3.93,1.24,1.06,0.83,102,1,仁寶電腦
2327,5935.35,19.91,9.13,5.42,3.37,102,1,國巨
2328,2982.28,12.46,4.06,3.73,2.61,102,1,廣宇
2329,2240.85,5.2,-5.27,-5.8,-8.57,102,1,華泰電子
2330,132755.0,45.78,33.47,34.46,29.78,102,1,台積電
2331,14046.4,8.31,1.77,2.22,1.56,102,1,精英
2332,7223.01,27.2,1.88,2.53,1.81,102,1,友訊科技
2337,4404.79,-4.21,-47.59,-47.32,-47.34,102,1,旺宏
2338,448.26,11.95,-2.35,0.4,-0.47,102,1,光罩
2340,1534.85,18.89,5.04,7.7,6.15,102,1,光磊
2342,406.09,-53.14,-73.97,-48.17,-50.1,102,1,茂矽
2344,7675.11,16.27,-3.38,-3.92,-4.4,102,1,華邦電
2345,4844.83,16.18,0.42,2.01,1.43,102,1,智邦科技
2347,73636.81,3.23,0.78,1.56,1.42,102,1,聯強國際
2348,9.47,0.55,-110.55,-109.34,-109.34,102,1,海悅
2349,3656.86,-1.73,-16.43,-17.91,-18.61,102,1,錸德科技
2351,2110.06,12.64,4.91,5.61,4.58,102,1,順德
2352,27505.86,9.09,-0.53,-2.5,-2.8,102,1,佳世達
2353,91973.0,8.52,0.03,0.49,0.56,102,1,宏碁
2354,22461.95,14.16,8.46,10.04,9.49,102,1,鴻準
2355,4552.42,16.63,10.12,12.42,9.71,102,1,敬鵬
2356,100762.05,4.91,1.37,2.3,1.59,102,1,英業達
2357,114039.78,13.21,4.71,6.34,5.31,102,1,華碩
2358,354.04,4.47,-0.26,-0.4,-0.4,102,1,廷鑫
2359,1359.46,12.91,0.62,2.76,2.3,102,1,所羅門
2360,2166.87,37.15,10.3,12.03,10.15,102,1,致茂電子
2362,4565.34,31.59,8.89,40.3,36.51,102,1,藍天
2363,111.73,23.1,-107.23,-129.99,-130.01,102,1,矽統科技
2364,169.66,17.58,-41.49,-30.75,-30.81,102,1,倫飛電腦
2365,1898.25,18.16,0.48,1.7,1.33,102,1,昆盈企業
2367,2984.44,6.49,-4.62,0.06,0.02,102,1,燿華
2368,3825.76,1.17,-9.08,-9.54,-10.61,102,1,金像電
2369,1431.35,13.03,4.37,5.02,4.22,102,1,菱生
2371,25395.43,5.44,-8.05,-10.85,-11.34,102,1,大同
2373,2468.2,45.39,7.67,13.69,12.4,102,1,震旦行
2374,7072.51,8.09,1.53,1.49,1.06,102,1,佳能
2375,417.75,16.06,2.65,6.97,6.94,102,1,智寶
2376,12393.6,18.31,3.72,5.47,4.9,102,1,技嘉
2377,16179.71,12.39,2.71,3.59,2.65,102,1,微星科技
2379,6743.69,44.86,10.0,12.09,10.83,102,1,瑞昱
2380,605.96,21.63,-19.94,-18.4,-15.47,102,1,虹光精密
2382,197515.78,4.05,1.3,3.04,2.35,102,1,廣達
2383,4140.51,15.15,5.56,5.39,4.56,102,1,台光電子
2385,17209.44,14.99,5.54,7.31,5.77,102,1,群光電子
2387,2840.39,15.15,7.14,6.23,5.0,102,1,精元電腦
2388,977.23,32.66,-98.4,-126.04,-127.76,102,1,威盛電子
2390,187.5,22.62,-25.21,20.9,18.11,102,1,云辰
2392,26995.53,10.25,1.86,2.85,2.27,102,1,正崴
2393,5024.0,22.49,6.7,6.25,4.46,102,1,億光電子
2395,6629.59,41.72,14.56,16.1,13.08,102,1,研華
2397,479.43,31.01,9.11,14.56,11.9,102,1,友通資訊
2399,1159.33,10.53,2.35,5.83,4.88,102,1,映泰
2401,1751.87,39.64,-4.94,-2.27,-2.67,102,1,凌陽科技
2402,1809.78,11.45,0.21,1.08,1.06,102,1,毅嘉科技
2404,3075.04,11.52,7.54,8.54,6.97,102,1,漢唐
2405,3089.71,11.94,1.03,0.75,0.77,102,1,浩鑫
2406,1937.38,6.41,-0.77,0.84,-0.29,102,1,國碩科技
2408,9245.77,18.87,9.76,5.51,5.47,102,1,南亞科
2409,94244.18,4.83,-1.44,-3.4,-3.52,102,1,友達
2412,56616.99,33.85,19.87,20.42,16.98,102,1,中華電
2413,1026.16,10.7,-3.77,-2.18,-2.14,102,1,環科
2414,3271.81,9.59,1.32,1.44,1.09,102,1,精技電腦
2415,403.29,19.81,4.92,4.43,2.79,102,1,錩新
2417,280.66,41.41,-12.31,-7.5,-10.32,102,1,圓剛
2419,1348.46,22.55,1.41,3.32,2.14,102,1,仲琦
2420,858.87,32.2,14.66,17.88,15.03,102,1,新巨
2421,1671.9,21.47,1.58,2.83,1.84,102,1,建準電機
2423,461.67,47.42,5.36,9.0,8.0,102,1,固緯
2424,19.09,25.47,-13.72,-6.25,-6.25,102,1,隴華電子
2425,1134.98,7.84,5.46,6.94,6.94,102,1,承啟
2426,770.52,-1.06,-15.31,-15.73,-16.16,102,1,鼎元
2427,615.83,22.7,-0.65,0.23,-0.11,102,1,三商電腦
2428,891.8,22.52,11.94,12.45,9.03,102,1,興勤電子
2429,161.53,9.8,3.08,1.8,1.8,102,1,銘旺科
2430,6508.37,15.72,3.55,3.76,3.14,102,1,燦坤實業
2431,560.77,7.21,-3.77,-0.36,-0.72,102,1,聯昌電子
2433,467.96,46.26,17.06,39.12,35.68,102,1,互盛電
2434,125.98,-0.74,-19.6,-14.46,-12.88,102,1,統懋
2436,391.38,22.95,2.51,13.2,11.02,102,1,偉詮電
2438,5.79,-68.15,-264.89,-367.46,-325.35,102,1,翔耀實業
2439,2278.02,21.61,10.26,9.49,7.27,102,1,美律
2440,411.0,-10.01,-23.95,-11.69,-11.86,102,1,太空梭
2441,2089.28,18.43,14.4,15.74,13.71,102,1,超豐電子
2442,160.38,22.92,-2.72,22.25,19.11,102,1,新美齊
2443,113.15,12.73,-36.29,-40.68,-40.7,102,1,新利虹
2444,324.49,12.97,-0.43,1.75,1.75,102,1,兆勁
2448,4324.81,6.26,-7.07,-6.12,-5.74,102,1,晶電
2449,3381.96,24.52,12.62,13.41,10.6,102,1,京元電子
2450,11104.61,15.49,5.27,5.86,4.91,102,1,神腦
2451,7051.13,18.49,13.07,14.21,12.33,102,1,創見資訊
2453,976.78,18.71,-0.04,1.39,1.01,102,1,凌群
2454,23974.21,42.09,12.88,16.36,15.58,102,1,聯發科
2455,538.65,32.48,25.01,28.99,24.55,102,1,全新
2456,904.48,21.39,9.62,9.93,7.2,102,1,奇力新
2457,2608.59,17.06,0.21,2.24,1.43,102,1,飛宏科技
2458,1866.4,47.72,22.09,24.18,20.15,102,1,義隆
2459,2714.66,10.07,4.48,5.72,4.77,102,1,敦吉
2460,900.54,11.1,1.05,-0.49,-0.6,102,1,建通精密
2461,1042.02,25.74,8.38,12.0,10.64,102,1,光群雷射
2462,1048.3,13.19,3.76,5.9,4.91,102,1,良得電
2464,1545.83,18.23,8.09,8.28,7.47,102,1,盟立
2465,425.72,14.7,-8.51,-8.49,-8.5,102,1,麗臺科技
2466,218.72,14.9,-12.34,9.77,10.84,102,1,冠西電
2467,605.62,30.61,-5.15,21.0,16.6,102,1,志聖工業
2468,313.14,11.07,-3.03,0.11,0.04,102,1,華經
2471,170.15,38.28,13.76,17.04,13.92,102,1,資通
2472,1232.22,16.79,4.41,11.15,7.84,102,1,立隆電子
2474,9232.43,41.72,31.74,50.37,42.52,102,1,可成科技
2476,963.5,23.37,4.36,9.2,6.04,102,1,鉅祥
2477,844.22,15.67,-1.19,0.86,0.65,102,1,美隆電
2478,850.13,11.73,1.29,3.3,2.57,102,1,大毅
2480,870.07,33.95,10.09,10.62,8.73,102,1,敦陽科技
2481,2719.76,8.71,-7.45,-9.57,-7.95,102,1,強茂
2482,142.92,39.32,-0.8,4.5,3.48,102,1,連宇
2483,355.71,19.96,2.06,6.92,6.31,102,1,百容
2484,546.82,18.15,2.39,5.88,4.15,102,1,希華
2485,1602.77,17.65,5.48,13.1,10.95,102,1,兆赫電子
2486,1499.44,8.29,1.26,3.19,2.81,102,1,一詮精密
2488,374.49,23.59,6.57,10.58,8.48,102,1,漢平
2489,6424.81,9.25,0.94,4.76,3.86,102,1,瑞軒
2491,241.36,-0.53,-47.38,-51.63,-51.63,102,1,吉祥全
2492,2882.06,3.71,-10.5,-11.44,-11.67,102,1,華新科
2493,555.3,27.6,14.65,17.64,14.64,102,1,揚博科技
2495,435.43,45.89,0.25,9.32,6.92,102,1,普安
2496,47.11,30.25,3.28,3.52,3.52,102,1,卓越成功
2497,557.62,29.89,5.98,8.55,6.9,102,1,怡利電子
2498,42788.52,20.29,0.1,0.24,0.2,102,1,宏達電
2499,1792.64,15.72,1.65,5.49,5.11,102,1,東貝光電
2501,1469.04,34.78,23.89,25.89,24.66,102,1,國建
2504,6752.47,5.25,-2.0,-0.09,-0.11,102,1,國產
2505,2127.34,21.48,14.2,13.92,10.87,102,1,國揚實業
2506,608.92,46.07,-1.17,-6.29,-8.36,102,1,太設
2509,97.6,42.87,-10.22,-15.26,-20.33,102,1,全坤建
2511,2576.42,33.63,5.67,4.13,4.04,102,1,太子
2515,3360.19,5.89,0.87,0.34,0.22,102,1,中工
2516,1982.94,4.47,2.5,2.57,1.98,102,1,新建
2520,998.23,22.13,-5.13,36.49,33.76,102,1,冠德
2524,925.89,42.08,33.84,33.65,31.25,102,1,京城
2527,63.34,12.89,-59.03,-79.71,-90.12,102,1,宏璟
2528,0.49,70.72,-1720.41,-2633.2,-2633.2,102,1,皇普建設
2530,415.59,38.16,26.72,25.24,23.59,102,1,華建
2534,7.66,64.0,-527.48,-984.0,-1033.7,102,1,宏盛
2535,4726.79,13.6,9.31,9.25,7.65,102,1,達工
2536,464.12,47.96,31.27,20.88,18.61,102,1,宏普建設
2537,921.27,34.8,28.63,27.74,27.74,102,1,聯上開發
2538,16.87,26.31,-106.27,231.25,231.25,102,1,基泰建設
2539,0.78,61.2,-2046.48,-1983.1,-1983.1,102,1,櫻花建設
2540,0.16,46.34,-1936.59,-2565.24,-2565.24,102,1,愛山林
2542,14373.8,37.35,30.89,30.94,26.57,102,1,興富發
2543,797.79,4.19,0.37,0.06,0.06,102,1,皇昌營造
2545,1448.67,56.01,42.61,40.24,39.52,102,1,皇翔
2546,1362.55,4.89,2.73,4.33,3.63,102,1,根基
2547,449.62,69.7,-17.5,-55.47,-57.26,102,1,日勝
2548,8214.88,40.17,38.36,38.7,38.1,102,1,華固建設
2597,2930.76,13.36,8.9,8.7,7.31,102,1,潤弘精密
2601,2063.11,77.7,15.36,6.03,-2.68,102,1,益航
2603,33381.7,-2.73,-6.67,-5.92,-5.86,102,1,長榮海運
2605,1294.47,45.78,42.2,37.33,35.53,102,1,新興
2606,1692.2,6.82,3.08,11.8,11.67,102,1,裕民
2607,1485.55,12.98,9.27,10.71,8.87,102,1,榮運
2608,1759.81,17.66,11.99,12.32,10.31,102,1,嘉里大榮
2609,27461.98,-5.27,-10.37,-12.51,-9.78,102,1,陽明海運
2610,33075.92,5.87,-1.99,-3.18,-3.33,102,1,華航
2611,338.54,19.18,-2.34,1.62,0.77,102,1,志信
2612,788.78,27.01,18.15,16.66,15.41,102,1,中航
2613,608.4,4.86,0.83,0.26,0.16,102,1,中櫃
2614,3232.13,28.7,-1.06,-8.81,-9.06,102,1,東森
